Angle,Intensity
0.0060120240,0.9967200000
0.0120240500,0.9934480000
0.0180360700,0.9901820000
0.0240481000,0.9869190000
0.0300601200,0.9836570000
0.0360721400,0.9803930000
0.0420841700,0.9771240000
0.0480961900,0.9738490000
0.0541082100,0.9705640000
0.0601202400,0.9672660000
0.0661322600,0.9639540000
0.0721442800,0.9606240000
0.0781563100,0.9572740000
0.0841683400,0.9539000000
0.0901803600,0.9504990000
0.0961923800,0.9470690000
0.1022040000,0.9436050000
0.1082160000,0.9401050000
0.1142280000,0.9365650000
0.1202400000,0.9329800000
0.1262530000,0.9293470000
0.1322650000,0.9256620000
0.1382770000,0.9219200000
0.1442890000,0.9181150000
0.1503010000,0.9142430000
0.1563130000,0.9102980000
0.1623250000,0.9062730000
0.1683370000,0.9021620000
0.1743490000,0.8979580000
0.1803610000,0.8936530000
0.1863730000,0.8892370000
0.1923850000,0.8847020000
0.1983970000,0.8800370000
0.2044090000,0.8752300000
0.2104210000,0.8702680000
0.2164330000,0.8651370000
0.2224450000,0.8598210000
0.2284570000,0.8543000000
0.2344690000,0.8485560000
0.2404810000,0.8425630000
0.2464930000,0.8362950000
0.2525050000,0.8297220000
0.2585170000,0.8228070000
0.2645290000,0.8155080000
0.2705410000,0.8077760000
0.2765530000,0.7995540000
0.2825650000,0.7907710000
0.2885770000,0.7813440000
0.2945890000,0.7711710000
0.3006010000,0.7601260000
0.3066130000,0.7480530000
0.3126250000,0.7347530000
0.3186370000,0.7199720000
0.3246490000,0.7033800000
0.3306610000,0.6845390000
0.3366730000,0.6628650000
0.3426850000,0.6375670000
0.3486970000,0.6075890000
0.3547090000,0.5715920000
0.3607210000,0.5281410000
0.3667330000,0.4765450000
0.3727450000,0.4186400000
0.3787580000,0.3598220000
0.3847700000,0.3062120000
0.3907820000,0.2608710000
0.3967940000,0.2237800000
0.4028060000,0.1936490000
0.4088180000,0.1690440000
0.4148300000,0.1487570000
0.4208420000,0.1318490000
0.4268540000,0.1176120000
0.4328660000,0.1055060000
0.4388780000,0.0951246300
0.4448900000,0.0861519000
0.4509020000,0.0783411400
0.4569140000,0.0714982500
0.4629260000,0.0654728500
0.4689380000,0.0601374000
0.4749500000,0.0553856600
0.4809620000,0.0511478600
0.4869740000,0.0473438000
0.4929860000,0.0439120000
0.4989980000,0.0408293200
0.5050100000,0.0380171100
0.5110220000,0.0354733400
0.5170340000,0.0331602400
0.5230460000,0.0310245100
0.5290580000,0.0291078300
0.5350700000,0.0273027300
0.5410820000,0.0256879400
0.5470940000,0.0241663200
0.5531060000,0.0227779900
0.5591180000,0.0215006700
0.5651300000,0.0202875800
0.5711420000,0.0192154900
0.5771540000,0.0181458900
0.5831660000,0.0172415400
0.5891780000,0.0162949600
0.5951900000,0.0155258500
0.6012020000,0.0146869000
0.6072140000,0.0140272500
0.6132260000,0.0132822800
0.6192380000,0.0127129400
0.6252500000,0.0120488000
0.6312620000,0.0115562100
0.6372750000,0.0109601000
0.6432870000,0.0105349200
0.6492990000,0.0099946860
0.6553110000,0.0096304970
0.6613230000,0.0091349770
0.6673350000,0.0088270920
0.6733470000,0.0083666990
0.6793590000,0.0081109640
0.6853710000,0.0076783500
0.6913830000,0.0074699660
0.6973950000,0.0070608680
0.7034070000,0.0068931070
0.7094190000,0.0065072110
0.7154310000,0.0063704190
0.7214430000,0.0060119400
0.7274550000,0.0058929630
0.7334670000,0.0055705330
0.7394790000,0.0054532010
0.7454910000,0.0051786350
0.7515030000,0.0050455290
0.7575150000,0.0048311200
0.7635270000,0.0046668800
0.7695390000,0.0045213810
0.7755510000,0.0043170680
0.7815630000,0.0042410180
0.7875750000,0.0039984990
