Angle,Intensity
0.21000,8556955.0
0.22000,9239642.0
0.23000,9819196.0
0.24000,10499795.0
0.25000,11283124.0
0.26000,12061580.0
0.27000,12781959.0
0.28000,13409059.0
0.29000,13969702.0
0.30000,14676093.0
0.31000,15422264.0
0.32000,16037890.0
0.33000,16714325.0
0.34000,17444032.0
0.35000,18165172.0
0.36000,18907518.0
0.37000,19645080.0
0.38000,20212296.0
0.39000,20729772.0
0.40000,21280660.0
0.41000,21945900.0
0.42000,22556396.0
0.43000,22984976.0
0.44000,23544592.0
0.45000,24269186.0
0.46000,24745552.0
0.47000,25226344.0
0.48000,25524756.0
0.49000,25854174.0
0.50000,26148560.0
0.51000,26524336.0
0.52000,26686772.0
0.53000,26901072.0
0.54000,27033988.0
0.55000,27328358.0
0.56000,27475256.0
0.57000,27336630.0
0.58000,27305302.0
0.59000,26935802.0
0.60000,26628616.0
0.61000,26350076.0
0.62000,26137294.0
0.63000,25426942.0
0.64000,25039580.0
0.65000,24881608.0
0.66000,24456956.0
0.67000,23732248.0
0.68000,22408990.0
0.69000,20947366.0
0.70000,19551560.0
0.71000,17735242.0
0.72000,15711502.0
0.73000,13499082.0
0.74000,11189664.0
0.75000,8944656.0
0.76000,6915688.0
0.77000,4923980.0
0.78000,3250022.0
0.79000,1984841.0
0.80000,1175997.0
0.81000,733580.0
0.82000,581667.0
0.83000,641801.0
0.84000,837435.0
0.85000,1100062.0
0.86000,1377444.0
0.87000,1611322.0
0.88000,1779383.0
0.89000,1859377.0
0.90000,1890103.0
0.91000,1865563.0
0.92000,1779775.0
0.93000,1644668.0
0.94000,1481225.0
0.95000,1320345.0
0.96000,1155535.0
0.97000,971142.0
0.98000,784136.0
0.99000,610717.0
1.00000,464634.0
1.01000,343802.0
1.02000,241399.0
1.03000,158164.0
1.04000,97167.0
1.05000,54529.0
1.06000,27170.0
1.07000,11117.0
1.08000,5780.0
1.09000,8731.0
1.10000,18391.0
1.11000,31991.0
1.12000,48936.0
1.13000,66316.0
1.14000,85068.0
1.15000,103047.0
1.16000,119392.0
1.17000,131177.0
1.18000,139576.0
1.19000,145477.0
1.20000,147639.0
1.21000,148562.0
1.22000,144126.0
1.23000,137939.0
1.24000,129808.0
1.25000,120218.0
1.26000,107499.0
1.27000,95752.0
1.28000,84562.0
1.29000,72954.0
1.30000,61240.0
1.31000,50609.0
1.32000,41012.0
1.33000,32472.0
1.34000,24673.0
1.35000,18124.0
1.36000,12977.0
1.37000,8658.0
1.38000,5848.0
1.39000,3871.0
1.40000,2668.0
1.41000,2360.0
1.42000,2590.0
1.43000,3441.0
1.44000,4597.0
1.45000,6248.0
1.46000,7744.0
1.47000,9519.0
1.48000,11121.0
1.49000,12332.0
1.50000,13425.0
1.51000,14541.0
1.52000,15123.0
1.53000,15856.0
1.54000,16021.0
1.55000,15895.0
1.56000,15663.0
1.57000,14898.0
1.58000,14374.0
1.59000,13528.0
1.60000,12625.0
1.61000,11683.0
1.62000,10550.0
1.63000,9453.0
1.64000,8318.0
1.65000,7289.0
1.66000,6564.0
1.67000,5685.0
1.68000,4719.0
1.69000,3802.0
1.70000,3237.0
1.71000,2668.0
1.72000,2206.0
1.73000,1810.0
1.74000,1520.0
1.75000,1331.0
1.76000,1186.0
1.77000,1136.0
1.78000,1144.0
1.79000,1287.0
1.80000,1267.0
1.81000,1429.0
1.82000,1614.0
1.83000,1684.0
1.84000,1755.0
1.85000,1870.0
1.86000,1971.0
1.87000,2017.0
1.88000,2089.0
1.89000,2103.0
1.90000,2057.0
1.91000,2048.0
1.92000,1966.0
1.93000,1932.0
1.94000,1835.0
1.95000,1759.0
1.96000,1710.0
1.97000,1532.0
1.98000,1476.0
1.99000,1270.0
2.00000,1206.0
2.01000,1060.0
2.02000,959.0
2.03000,869.0
2.04000,827.0
2.05000,784.0
2.06000,731.0
2.07000,681.0
2.08000,649.0
2.09000,580.0
2.10000,651.0
2.11000,563.0
2.12000,520.0
2.13000,515.0
2.14000,463.0
2.15000,446.0
2.16000,403.0
2.17000,406.0
2.18000,349.0
2.19000,346.0
2.20000,331.0
2.21000,327.0
2.22000,280.0
2.23000,244.0
2.24000,301.0
2.25000,272.0
2.26000,250.0
2.27000,217.0
2.28000,255.0
2.29000,211.0
2.30000,260.0
2.31000,272.0
2.32000,252.0
2.33000,257.0
2.34000,295.0
2.35000,288.0
2.36000,292.0
2.37000,313.0
2.38000,308.0
2.39000,282.0
2.40000,287.0
2.41000,275.0
2.42000,235.0
2.43000,244.0
2.44000,254.0
2.45000,214.0
2.46000,186.0
2.47000,166.0
2.48000,172.0
2.49000,127.0
2.50000,117.0
2.51000,97.0
2.52000,69.0
2.53000,57.0
2.54000,50.0
2.55000,43.0
2.56000,22.0
2.57000,29.0
2.58000,21.0
2.59000,19.0
2.60000,21.0
2.61000,35.0
2.62000,33.0
2.63000,34.0
2.64000,39.0
2.65000,67.0
2.66000,65.0
2.67000,70.0
2.68000,71.0
2.69000,71.0
2.70000,92.0
2.71000,90.0
2.72000,87.0
2.73000,75.0
2.74000,85.0
2.75000,81.0
2.76000,66.0
2.77000,67.0
2.78000,72.0
2.79000,38.0
2.80000,52.0
2.81000,43.0
2.82000,53.0
2.83000,30.0
2.84000,36.0
2.85000,23.0
2.86000,19.0
2.87000,4.0
2.88000,7.0
2.89000,12.0
2.90000,6.0
2.91000,4.0
2.92000,13.0
2.93000,18.0
2.94000,19.0
2.95000,20.0
2.96000,14.0
2.97000,25.0
2.98000,29.0
2.99000,36.0
3.00000,31.0
3.01000,37.0
3.02000,28.0
3.03000,30.0
3.04000,33.0
3.05000,31.0
3.06000,32.0
3.07000,38.0
3.08000,26.0
3.09000,23.0
3.10000,19.0
3.11000,20.0
3.12000,17.0
3.13000,10.0
3.14000,11.0
3.15000,6.0
3.16000,9.0
3.17000,5.0
3.18000,6.0
3.19000,3.0
3.20000,9.0
3.21000,10.0
3.22000,3.0
3.23000,0.0
3.24000,5.0
3.25000,15.0
3.26000,19.0
3.27000,16.0
3.28000,11.0
3.29000,19.0
3.30000,25.0
3.31000,9.0
3.32000,16.0
3.33000,20.0
3.34000,37.0
3.35000,33.0
3.36000,33.0
3.37000,27.0
3.38000,32.0
3.39000,34.0
3.40000,28.0
3.41000,33.0
3.42000,23.0
3.43000,20.0
3.44000,37.0
3.45000,16.0
3.46000,20.0
3.47000,16.0
3.48000,14.0
3.49000,12.0
